"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 6127.4 2213.5 60.3 187.5 482.3 4401.6 2357.9 7954.6 20924.2 13017.8
"2" 2163.3 94414.8 211.9 623.9 1725.9 66558.2 12516.2 6742.9 48716.4 17439
"3" 57 477.6 76424.6 21003.6 10073.7 377 2129.7 1502 992.1 1609.7
"4" 27.6 183.1 8838.9 48103 3176.2 169.1 1091.4 717.2 485 799.7
"5" 93 1071.1 4482.5 10638.9 30034.2 674.7 3492.1 2213.3 1699.1 2196.2
"6" 1842.4 60062.2 73.4 249.8 592.8 957194.8 7901.7 6570.9 48303.2 6947.9
"7" 628.7 6005.8 639.7 1782.8 3773.4 7974.5 45612.8 11058.6 16618.4 5241.8
"8" 2509.8 8348 865.2 2496.4 4937.8 12981.7 29644.9 108555.2 37071.4 20666.5
"9" 3649.4 11591.3 85 329.9 783.5 13793 5839.9 9799 173387.6 13692.8
"10" 18222.3 48311 1565.3 4025.5 9075.9 20365.4 14356 67816.3 93651.3 988197
