"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1329028.4 165870.4 9601.5 8998.5 34593.2 151467.2 168303 462287.6 907044.2 748333.9
"2" 260232.2 4136444.9 22033.3 17752.5 114307.3 1275080 573450.2 399114.8 1204802.9 887982.7
"3" 9692.3 34419.2 15715142.1 1224387.8 962541.1 10413.8 211901.7 129625.4 22784.9 86066.4
"4" 11440.5 20524.7 1460387.7 5418025.3 596485 8947.1 168733.8 130496.3 24078.1 102277
"5" 38895 118747 934489.5 542519 8080163.7 37293.1 774412.2 463573.2 90499.2 247023.1
"6" 133682.2 1182732.1 8873.9 6501 28792.6 22784545.7 277707.6 321354 624098.6 229772.6
"7" 214302.6 691109.1 258198 173757.1 820603.6 350565.6 9922942.6 2134765.8 677179.3 570189.9
"8" 607050.3 558808.6 156441.8 115540.8 462094.1 405792.7 2129620.2 10667200.6 1361484.5 1851095.3
"9" 754256.6 1248599.7 18943.2 14440.7 65566.6 590399.1 479856.2 808498.4 7166642.7 1009165.4
"10" 1023799.5 964169.3 93073.9 77745.5 240406.3 239817.9 462280.7 1721862.2 1104024.4 20900688.1
