"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 173442 24841 2048 3358.3 10137.3 22182.3 41940.6 122985.9 236919.9 102622
"2" 87058.6 1613917.9 11674 15785.4 78311 441183.9 323904.4 251400.5 883035.8 298672
"3" 1408.2 4599.5 2396510.7 363214.3 367154.1 1637.6 62859.9 32926.5 8618.7 13252
"4" 414.2 1080.7 117417.8 587452.7 56427.2 471.8 15521.1 10439.3 2627.7 4002.3
"5" 1934.5 7489.1 63895.4 67204 714429.2 2482.2 91365.3 43480 12204 14711.2
"6" 8494.1 95126.2 814.7 1079.8 4448.3 1445773.8 29508.4 38556.2 101723.2 21582.6
"7" 8240.8 34153 12437.9 14278.2 59091.4 18887.3 682660.8 146435.4 81234.2 25125
"8" 33279.8 39086.9 14308.4 18356.7 61455.5 34099.6 281871.6 1274241 221218.4 120374.8
"9" 37000.5 71228.2 1569.2 2084 7674.1 35352.9 46741.7 82942.7 814138.7 56907.9
"10" 106991.3 81646.4 13476.1 18831 42751.6 24872.8 70587 252288.4 221353 1967205.2
