"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 350439.8 22756.1 1606.5 1243.1 5049.4 27840.1 22777.2 95126.1 167581.8 302478.9
"2" 51552 380345.2 3246.4 2282.1 12664.3 176382.4 53057.3 47982.6 115772 167620.3
"3" 1478.1 2246.2 1866270.7 119750.9 133719 1299.3 28363.4 16683.9 4719.3 18192.2
"4" 3104.8 3354.8 221934.5 661717.4 109612 1898.1 36402.6 26226.1 5640.9 41045
"5" 9353.5 13357.3 128918.5 52288.1 999276.4 6639.8 123148.2 74324.9 18804.3 95928.3
"6" 56084.2 317672.6 2216.6 866.2 5140.1 5673603.4 85395.8 76659.8 234811.9 184296.6
"7" 43850.3 87236.6 37479.4 15255.8 98432.3 66343.3 1748514.1 328306 192013.9 253266.7
"8" 92288.8 40890.6 15666.4 8340.2 38985.9 44486 246939.4 1131031.9 167215 507100.8
"9" 242346.1 278447.9 8517 4555.2 25173 268415.5 196067.2 324203.8 2064807.2 599432.6
"10" 231743.7 127855.4 16202.3 8735.8 32956.9 47841.1 105145.1 341180.5 251150.6 5793357.3
