"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 144086.6 8581.5 0 0 0 0 0 828 1729.3 18592.4
"2" 10972.6 4815 1193.7 265.9 0 1644 30181 1156.6 44380.7 12254.3
"3" 3380.9 15500 849 0 0 0 0 0 3123.4 37970.6
"4" 283 3452.2 0 0 0 0 0 0 695.7 6365.1
"5" 0 0 0 0 0 0 0 0 0 0
"6" 1750.3 21348 0 0 0 0 0 0 8798.9 39360.8
"7" 4957.5 19305.3 0 0 0 0 0 0 112692.7 38499.1
"8" 500617 11037.6 37.9 8.4 0 52.2 12.7 507354.5 66112.3 653887.8
"9" 116752.4 17578.6 5824.1 0 0 0 0 0 6793.8 25444.2
"10" 52260.4 36613.3 475.2 105.8 0 654.5 159.5 804.6 7177.9 570802.2
