"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 5947390.3 594061.7 14119.2 13372 58130.1 143036.6 210583.6 602801.8 904200 935421.1
"2" 805513.5 10756575.4 29421.9 22669.6 212856.7 953635.3 594333.5 488221.7 1041570 776287
"3" 15699.4 46710.4 9122670.7 638262.4 713345.1 3835.5 104193 79473.5 11229 42088.1
"4" 18816.5 26974 726636.7 3268108.5 410589.8 3632.5 88475.4 77933.4 11763.7 46775.1
"5" 76137.5 213264.5 715484.9 419734.5 5601995.6 18920.6 488794.1 336105.7 56981.8 163991.9
"6" 119471.5 873589.8 3325.6 2486.4 13000.5 3805715.3 85886.1 136765.1 167244.1 59319.9
"7" 254066.1 715269.4 119779.7 79956.7 462970.2 128967.3 5258218.2 957096.3 285347.6 210649.9
"8" 786750.5 568395.3 77524.8 57909.6 273002.3 157933.5 1044226.9 7353796.6 577899.6 697498.9
"9" 889170.2 920566.2 11001.6 8527.6 46445.1 165823.1 232784 454340.4 2076713.4 331995.9
"10" 1349758.6 897835.9 50922.6 45288.7 160656.9 73495 220699.7 844805.4 417611.7 8293667
