"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 42933.5 1062.8 0 0 0 0 8260.4 5669.6 0 33370.3
"2" 64961.8 44736.7 15448.8 5220.5 0 22872.8 774021.6 302821.8 14555 181431.2
"3" 62.7 257 28596.4 0 0 0 0 59.6 0 67.4
"4" 21.2 86.9 0 0 0 0 0 20.1 0 22.8
"5" 0 0 0 0 0 0 0 0 0 0
"6" 92.9 380.6 0 0 0 0 0 88.2 0 99.8
"7" 1505.2 10065.8 0 0 0 0 0 806.7 0 3554.5
"8" 851.9 7417.7 0 0 0 0 610 748.8 0 1167.5
"9" 50.5 2581.2 1479.1 0 0 0 0 48 0 54.3
"10" 44013.1 25711.8 3449.2 0 0 0 304452.9 20312.5 0 138297.4
