"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1197.1 7410.9 0 0 0 0 954.5 74.3 189.2 4824.9
"2" 8826.3 12066.1 3954.4 975.2 0 3373.9 7911.6 3947.2 11135.9 77356.6
"3" 6835.1 3517.6 304 0 0 0 453 35.2 89.8 1720.6
"4" 75.6 867.5 0 0 0 0 111.7 8.7 22.1 424.3
"5" 0 0 0 0 0 0 0 0 0 0
"6" 261.7 3554.2 0 0 0 0 1029.5 30.1 76.6 1468.1
"7" 64358.7 90686.5 1000.9 0 0 0 5714.4 23.3 59.2 51991.5
"8" 851.7 32470 0 0 0 0 4809.3 34.7 88.3 15057.5
"9" 1407.4 26076.5 0 0 0 0 4388.9 98 249.6 5882.2
"10" 126510.5 30253.1 19224.5 327 0 1131.4 19443.5 38974.4 4330.5 226566.4
