"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 624646.7 42831.5 2691.4 3826.8 7451.2 22636.8 54383.1 92717.6 75746.4 132501.4
"2" 37351.2 328898.7 1899.2 1985.9 6626 62322.6 54680.4 27395.1 37679.9 43531.7
"3" 307.4 658.2 296591.6 34747.8 12240.4 50.6 5359.5 2133.1 180.8 1157.9
"4" 1295 1184.7 97786.6 744583.7 23985.9 286.5 12372.3 7659.3 765.7 5563.1
"5" 1623 2494.8 18430.5 13940.3 109387.5 432.1 21604.9 9321 980.3 4538
"6" 7493.7 41636.6 262.2 274.2 728.5 369295.4 11041.1 11359.4 10973.1 4860.9
"7" 34774.7 71483.6 24999.2 17438.1 57795.7 25116.6 1022089.1 166491.9 43162 40011.1
"8" 50982.9 25756.1 7925.8 8423.4 17674.9 15709.7 152801.2 708468.2 44723.7 59221.3
"9" 58579.8 42173.3 767.9 879.5 2098.6 11647.2 23146.9 30989.5 105128 28710
"10" 69297.5 46185.9 4980 6918.5 10294.4 7124.5 31376.4 70117.6 22054 676434.6
