"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 106680.4 9656 96.9 1391.1 919.9 2186.1 7639.7 5983.5 19411.9 44758.8
"2" 11218.9 122593 147.7 1384.9 1703.4 12492.5 15725.3 3458.6 7806.2 23654.8
"3" 382 1166.3 98810.5 67726.4 13166.7 27.2 6007.9 997.4 110.3 3408.4
"4" 506.5 574 8877.1 417652.3 8293.7 31.8 4365.3 1013.6 168.3 4382.7
"5" 2051.5 4032 9581.8 42492.5 143935.4 327.1 29392.1 4590.2 873.4 15009.4
"6" 6891.6 44618.2 34.2 532.1 474.2 128089.7 8478.3 3836.6 5540.9 6892.2
"7" 14719.9 33101.3 3143.5 19057 22990.5 4957.3 479554.8 25005 9864.8 33480.3
"8" 14373.1 9718.5 503.3 4779.2 4077.9 1749.5 36958.2 56739 6544.6 36512.3
"9" 50749.9 53262.8 193.2 2282.1 1888.1 7343.4 25542.5 13440 69879 45276.5
"10" 36647 25108 527.8 6475.1 3893.5 1808.9 13741 12631.8 7934.5 567058.2
