"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 354895 449825.1 70363 282 176725.1 1772 126473 52641 26614 81637
"2" 1089022.5 65320 216201 9767 137138 36052 7245815.9 335298 54220 323293.9
"3" 71127.9 165956.9 189607 41219 33183 22203 1054 20133 3267 9414
"4" 3080 21195 57818 174698 13094 5560 45198 1697 173 1679
"5" 196943 1592932.4 641717.8 65588 92520 269194.9 83017 218327.9 81237 87932
"6" 9298 112865 74290 1340 9523 582746 3912 20156 17748 90147
"7" 155318.9 114024 11820 15716 54538 78554 4813656 205205 164692.1 473053
"8" 138049.1 498628.6 80785 5089 10526 24086 40877 97292 90557 223448.9
"9" 67061 222990.1 33205 14481 7014 21377 20688 23484 42769 9438
"10" 101064 59318 79939 9369 71512 14164 109391 686023.1 15051 1319131.9
