"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 4417 4828.4 0 0 0 0 5.3 0 0 50236.2
"2" 8002.2 56314.1 21.5 10.4 0 231.3 1189 2619.9 100.5 14328.7
"3" 1122.6 7890 1281.1 0 0 0 9.9 0 0 1986.7
"4" 543.5 3819.6 0 0 0 0 4.8 0 0 961.8
"5" 0 0 0 0 0 0 0 0 0 0
"6" 12085.6 84941.8 0 0 0 0 106.3 0 0 21387.9
"7" 49260.6 216691.6 0 0 0 0 43 0 0 45702.4
"8" 22528.7 109283.6 8.1 3.9 0 87.1 969.4 1066.3 37.8 75645.7
"9" 9736.3 93931.7 0 0 0 0 2910.5 0 0 23382.7
"10" 23109.3 77392.8 20.2 9.8 0 217.2 174.1 65.4 1130.5 34929.1
