"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 8996.4 175.2 3.2 134.3 32.6 175.8 97.3 1350.7 2895.9 5250.8
"2" 982.8 2020.5 15.6 164.7 115.4 615.4 223.7 919.1 1566.9 2297.9
"3" 31.6 8.6 12397.6 5969.8 1217.5 0 44.6 314.6 8.9 207.9
"4" 41 11.6 1374 22351.2 785.6 1.5 67.2 388.4 18.3 284.1
"5" 926.1 415.7 3509.5 20060.6 19363.7 215 2248.2 6757.7 743.5 4229.5
"6" 4225.2 6590.9 29 404.3 163.9 99164.2 797 8676.4 5252.2 6367.1
"7" 7283.6 3634.5 946.3 6400 2899.1 3247.7 26100.1 57536.4 8575.9 13247.3
"8" 11192.2 1067.4 556.9 4030 1419.6 1842.1 4869 223405.1 13183.8 28746.3
"9" 89902.2 6434 228.7 1818.4 745.7 4812.5 2735.9 40230.4 73715.6 49816
"10" 39985.4 5382.1 846.4 7099.7 2031.8 1899 2053.2 38856.6 14357 617482.9
