1	Origin	Road	-18
1	Origin	Rail	-12
1	Origin	IWW	50
1	Destination	Road	-4
1	Destination	Rail	0
1	Destination	IWW	40
2	Origin	Road	-18
2	Origin	Rail	-10
2	Origin	IWW	2
2	Destination	Road	-2
2	Destination	Rail	0
2	Destination	IWW	6
3	Origin	Road	-20
3	Origin	Rail	-12
3	Origin	IWW	-4
3	Destination	Road	-2
3	Destination	Rail	0
3	Destination	IWW	26
4	Origin	Road	-12
4	Origin	Rail	-8
4	Origin	IWW	50
4	Destination	Road	2
4	Destination	Rail	0
4	Destination	IWW	50
5	Origin	Road	-18
5	Origin	Rail	-12
5	Origin	IWW	50
5	Destination	Road	0
5	Destination	Rail	0
5	Destination	IWW	34
6	Origin	Road	-10
6	Origin	Rail	-8
6	Origin	IWW	50
6	Destination	Road	2
6	Destination	Rail	0
6	Destination	IWW	6
7	Origin	Road	-18
7	Origin	Rail	-12
7	Origin	IWW	50
7	Destination	Road	-6
7	Destination	Rail	-2
7	Destination	IWW	30
8	Origin	Road	-12
8	Origin	Rail	-8
8	Origin	IWW	50
8	Destination	Road	2
8	Destination	Rail	0
8	Destination	IWW	50
9	Origin	Road	-20
9	Origin	Rail	-10
9	Origin	IWW	50
9	Destination	Road	2
9	Destination	Rail	0
9	Destination	IWW	48
10	Origin	Road	-26
10	Origin	Rail	-14
10	Origin	IWW	50
10	Destination	Road	-8
10	Destination	Rail	-2
10	Destination	IWW	26
11	Origin	Road	4
11	Origin	Rail	6
11	Origin	IWW	-8
11	Destination	Road	10
11	Destination	Rail	18
11	Destination	IWW	-4
12	Origin	Road	-16
12	Origin	Rail	-10
12	Origin	IWW	50
12	Destination	Road	-10
12	Destination	Rail	-6
12	Destination	IWW	50
13	Origin	Road	-20
13	Origin	Rail	4
13	Origin	IWW	-4
13	Destination	Road	-10
13	Destination	Rail	50
13	Destination	IWW	0
14	Origin	Road	-26
14	Origin	Rail	-18
14	Origin	IWW	6
14	Destination	Road	-30
14	Destination	Rail	-14
14	Destination	IWW	22
15	Origin	Road	-18
15	Origin	Rail	-12
15	Origin	IWW	50
15	Destination	Road	-6
15	Destination	Rail	-6
15	Destination	IWW	8
16	Origin	Road	-20
16	Origin	Rail	-10
16	Origin	IWW	50
16	Destination	Road	-2
16	Destination	Rail	0
16	Destination	IWW	50
17	Origin	Road	-16
17	Origin	Rail	-14
17	Origin	IWW	50
17	Destination	Road	-12
17	Destination	Rail	-16
17	Destination	IWW	50
18	Origin	Road	-20
18	Origin	Rail	-8
18	Origin	IWW	-6
18	Destination	Road	-8
18	Destination	Rail	-2
18	Destination	IWW	8
19	Origin	Road	-16
19	Origin	Rail	-8
19	Origin	IWW	50
19	Destination	Road	-20
19	Destination	Rail	-20
19	Destination	IWW	50
20	Origin	Road	-16
20	Origin	Rail	-8
20	Origin	IWW	50
20	Destination	Road	-6
20	Destination	Rail	-6
20	Destination	IWW	30
21	Origin	Road	-16
21	Origin	Rail	-22
21	Origin	IWW	26
21	Destination	Road	12
21	Destination	Rail	26
21	Destination	IWW	-38
22	Origin	Road	-36
22	Origin	Rail	-30
22	Origin	IWW	34
22	Destination	Road	-10
22	Destination	Rail	16
22	Destination	IWW	-46
23	Origin	Road	-8
23	Origin	Rail	-36
23	Origin	IWW	26
23	Destination	Road	-34
23	Destination	Rail	-4
23	Destination	IWW	-50
24	Origin	Road	-6
24	Origin	Rail	-42
24	Origin	IWW	44
24	Destination	Road	-10
24	Destination	Rail	2
24	Destination	IWW	-50
25	Origin	Road	10
25	Origin	Rail	-34
25	Origin	IWW	50
25	Destination	Road	8
25	Destination	Rail	0
25	Destination	IWW	50
26	Origin	Road	-28
26	Origin	Rail	-16
26	Origin	IWW	50
26	Destination	Road	-42
26	Destination	Rail	0
26	Destination	IWW	-50
27	Origin	Road	-12
27	Origin	Rail	-6
27	Origin	IWW	-22
27	Destination	Road	-2
27	Destination	Rail	12
27	Destination	IWW	-16
28	Origin	Road	-42
28	Origin	Rail	-34
28	Origin	IWW	-40
28	Destination	Road	12
28	Destination	Rail	10
28	Destination	IWW	-6
29	Origin	Road	-24
29	Origin	Rail	-20
29	Origin	IWW	50
29	Destination	Road	-24
29	Destination	Rail	-32
29	Destination	IWW	0
30	Origin	Road	-24
30	Origin	Rail	-24
30	Origin	IWW	50
30	Destination	Road	2
30	Destination	Rail	-50
30	Destination	IWW	50
31	Origin	Road	-6
31	Origin	Rail	-4
31	Origin	IWW	-4
31	Destination	Road	-42
31	Destination	Rail	-46
31	Destination	IWW	50
32	Origin	Road	-20
32	Origin	Rail	-12
32	Origin	IWW	50
32	Destination	Road	2
32	Destination	Rail	-10
32	Destination	IWW	50
33	Origin	Road	6
33	Origin	Rail	10
33	Origin	IWW	40
33	Destination	Road	10
33	Destination	Rail	0
33	Destination	IWW	50
34	Origin	Road	-50
34	Origin	Rail	-50
34	Origin	IWW	-50
34	Destination	Road	-50
34	Destination	Rail	-50
34	Destination	IWW	-50
35	Origin	Road	-18
35	Origin	Rail	-10
35	Origin	IWW	50
35	Destination	Road	-6
35	Destination	Rail	0
35	Destination	IWW	50
36	Origin	Road	-22
36	Origin	Rail	-14
36	Origin	IWW	50
36	Destination	Road	-4
36	Destination	Rail	-2
36	Destination	IWW	50
37	Origin	Road	-26
37	Origin	Rail	-18
37	Origin	IWW	50
37	Destination	Road	4
37	Destination	Rail	0
37	Destination	IWW	50
38	Origin	Road	-12
38	Origin	Rail	-22
38	Origin	IWW	40
38	Destination	Road	18
38	Destination	Rail	4
38	Destination	IWW	-50
39	Origin	Road	-36
39	Origin	Rail	-26
39	Origin	IWW	50
39	Destination	Road	4
39	Destination	Rail	2
39	Destination	IWW	50
40	Origin	Road	-18
40	Origin	Rail	-8
40	Origin	IWW	50
40	Destination	Road	-4
40	Destination	Rail	-2
40	Destination	IWW	50
41	Origin	Road	-26
41	Origin	Rail	-10
41	Origin	IWW	50
41	Destination	Road	-10
41	Destination	Rail	0
41	Destination	IWW	50
42	Origin	Road	-14
42	Origin	Rail	-16
42	Origin	IWW	50
42	Destination	Road	8
42	Destination	Rail	0
42	Destination	IWW	44
43	Origin	Road	-2
43	Origin	Rail	10
43	Origin	IWW	4
43	Destination	Road	-2
43	Destination	Rail	-4
43	Destination	IWW	6
44	Origin	Road	-18
44	Origin	Rail	-2
44	Origin	IWW	0
44	Destination	Road	-2
44	Destination	Rail	-2
44	Destination	IWW	2
45	Origin	Road	-12
45	Origin	Rail	0
45	Origin	IWW	-2
